Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Insurance-Based Disparities in Stroke Center Access in California: A Network Science Approach.,Zachrison KS; Hsia RY; Schwamm LH; Yan Z; Samuels-Kalow ME; Reeves MJ; Camargo CA Jr; Onnela JP,"BACKGROUND: Our objectives were to determine whether there is an association between ischemic stroke patient insurance and likelihood of transfer overall and to a stroke center and whether hospital cluster modified the association between insurance and likelihood of stroke center transfer. METHODS: This retrospective network analysis of California data included every nonfederal hospital ischemic stroke admission from 2010 to 2017. Transfers from an emergency department to another hospital were categorized based on whether the patient was discharged from a stroke center (primary or comprehensive). We used logistic regression models to examine the relationship between insurance (private, Medicare, Medicaid, uninsured) and odds of (1) any transfer among patients initially presenting to nonstroke center hospital emergency departments and (2) transfer to a stroke center among transferred patients. We used a network clustering method to identify clusters of hospitals closely connected through transfers. Within each cluster, we quantified the difference between insurance groups with the highest and lowest proportion of transfers discharged from a stroke center. RESULTS: Of 332 995 total ischemic stroke encounters, 51% were female, 70% were ≥65 years, and 3.5% were transferred from the initial emergency department. Of 52 316 presenting to a nonstroke center, 3466 (7.1%) were transferred. Relative to privately insured patients, there were lower odds of transfer and of transfer to a stroke center among all groups (Medicare odds ratio, 0.24 [95% CI, 0.22-0.26] and 0.59 [95% CI, 0.50-0.71], Medicaid odds ratio, 0.26 [95% CI, 0.23-0.29] and odds ratio, 0.49 [95% CI, 0.38-0.62], uninsured odds ratio, 0.75 [95% CI, 0.63-0.89], and 0.72 [95% CI, 0.6-0.8], respectively). Among the 14 identified hospital clusters, insurance-based disparities in transfer varied and the lowest performing cluster (also the largest; n=2364 transfers) fully explained the insurance-based disparity in odds of stroke center transfer. CONCLUSIONS: Uninsured patients had less stroke center access through transfer than patients with insurance. This difference was largely explained by patterns in 1 particular hospital cluster.",2023,Oct,Circ Cardiovasc Qual Outcomes,16,10,e009868,,10.1161/CIRCOUTCOMES.122.009868,37746725,#1038,Zachrison 2023,"",""
Interhospital transfers among Medicare beneficiaries admitted for acute myocardial infarction at nonrevascularization hospitals.,Iwashyna TJ; Kahn JM; Hayward RA; Nallamothu BK,"BACKGROUND: Patients with acute myocardial infarction (AMI) who are admitted to hospitals without coronary revascularization are frequently transferred to hospitals with this capability, yet we know little about the basis for how such revascularization hospitals are selected. METHODS AND RESULTS: We examined interhospital transfer patterns in 71 336 AMI patients admitted to hospitals without revascularization capabilities in the 2006 Medicare claims using network analysis and regression models. A total of 31 607 (44.3%) AMI patients were transferred from 1684 nonrevascularization hospitals to 1104 revascularization hospitals. Median time to transfer was 2 days. Median transfer distance was 26.7 miles, with 96.1% within 100 miles. In 45.8% of cases, patients bypassed a closer hospital to go to a farther hospital that had a better 30-day risk standardized mortality rates. However, in 36.8% of cases, another revascularization hospital with lower 30-day risk-standardized mortality was actually closer to the original admitting nonrevascularization hospital than the observed transfer destination. Adjusted regression models demonstrated that shorter transfer distances were more common than transfers to the hospitals with lowest 30-day mortality rates. Simulations suggest that an optimized system that prioritized the transfer of AMI patients to a nearby hospital with the lowest 30-day mortality rate might produce clinically meaningful reductions in mortality. CONCLUSIONS: More than 40% of AMI patients admitted to nonrevascularization hospitals are transferred to revascularization hospitals. Many patients are not directed to nearby hospitals with the lowest 30-day risk-standardized mortality, and this may represent an opportunity for improvement.",2010,Sep,Circ Cardiovasc Qual Outcomes,3,5,468-75,,10.1161/CIRCOUTCOMES.110.957993,20682917,#1070,Iwashyna 2010,"",""
Limiting the spread of highly resistant hospital-acquired microorganisms via critical care transfers: a simulation study.,Karkada UH; Adamic LA; Kahn JM; Iwashyna TJ,"PURPOSE: Hospital-acquired infections with highly resistant organisms are an important problem among critically ill patients. Control of these organisms has largely focused within individual hospitals. We examine the extent to which transfers of critically ill patients could be a vector for the wide spread of highly resistant organisms, and compare the efficiency of different approaches to targeting infection control resources. METHODS: We analyzed the network of interhospital transfers of intensive care unit patients in 2005 US Medicare data and 2004-2006 Pennsylvania all-payer data. We simulated the spread of highly resistant hospital-acquired infections by randomly choosing a single hospital to develop a highly resistant organism and following the spread of infection or colonization throughout the network under varying strategies of infection control and varying levels of infectivity. RESULTS: Critical care transfers could spread a highly resistant organism between any two US hospitals in a median of 3 years. Hospitals varied substantially in their importance to limiting potential spread. Targeting resources to a small subset of hospitals on the basis of their position in the transfer network was 16 times more efficient than distributing infection control resources uniformly. Within any set of targeted hospitals, the best strategy for infection control heavily concentrated resources at a few particularly important hospitals, regardless of level of infectivity. CONCLUSIONS: Critical care transfers provide a plausible vector for widespread dissemination of highly resistant hospital-acquired microorganisms. Infection control efforts can be made more efficient by selectively targeting hospitals most important for transmission.",2011,Oct,Intensive Care Med,37,10,1633-40,,10.1007/s00134-011-2341-y,21850532,#1137,Karkada 2011,"",""
"A Network-Theoretic Analysis of Hospital Admission, Transfer, and Discharge Data.",Cioffi M; Mukhtar N; Ryan NC; Klobusicky JJ,"Comprehending complex behavior of flow within a graph is of interest to clinicians and mathematicians alike. In this study we examine admission, discharge, and transfer data of patients within a hospital system, and process the importance of nodes through several graph metrics. One common metric, which measures population densities through a continuous time Markov process, will be compared against centrality measures, a technique more often used in social media studies. Our findings show that centrality measures capture behavior related to the topology of the network that may be missed by Markov processes. This suggests that, for determining the allocation of resources between departments of a hospital, centrality measures in some cases may prove more suitable for interpreting patient flow data. Departmental rankings and suitable instances for the application for each graph metric are provided.",2018,,AMIA Jt Summits Transl Sci Proc,2017,,45-53,,,29888038,#1144,Cioffi 2018,"",""
Predicting hospital-onset Clostridium difficile using patient mobility data: A network approach.,Bush K; Barbosa H; Farooq S; Weisenthal SJ; Trayhan M; White RJ; Noyes EI; Ghoshal G; Zand MS,"OBJECTIVE: To examine the relationship between unit-wide Clostridium difficile infection (CDI) susceptibility and inpatient mobility and to create contagion centrality as a new predictive measure of CDI. DESIGN: Retrospective cohort study. METHODS: A mobility network was constructed using 2 years of patient electronic health record data for a 739-bed hospital (n = 72,636 admissions). Network centrality measures were calculated for each hospital unit (node) providing clinical context for each in terms of patient transfers between units (ie, edges). Daily unit-wide CDI susceptibility scores were calculated using logistic regression and were compared to network centrality measures to determine the relationship between unit CDI susceptibility and patient mobility. RESULTS: Closeness centrality was a statistically significant measure associated with unit susceptibility (P < .05), highlighting the importance of incoming patient mobility in CDI prevention at the unit level. Contagion centrality (CC) was calculated using inpatient transfer rates, unit-wide susceptibility of CDI, and current hospital CDI infections. The contagion centrality measure was statistically significant (P < .05) with our outcome of hospital-onset CDI cases, and it captured the additional opportunities for transmission associated with inpatient transfers. We have used this analysis to create easily interpretable clinical tools showing this relationship as well as the risk of hospital-onset CDI in real time, and these tools can be implemented in hospital EHR systems. CONCLUSIONS: Quantifying and visualizing the combination of inpatient transfers, unit-wide risk, and current infections help identify hospital units at risk of developing a CDI outbreak and, thus, provide clinicians and infection prevention staff with advanced warning and specific location data to inform prevention efforts.",2019,Dec,Infect Control Hosp Epidemiol,40,12,1380-1386,,10.1017/ice.2019.288,31656216,#1194,Bush 2019,"",""
[Analysis of transfer from one hospital to another in patients with myocardial infarction in the Provence-Alpes-Côte-d'Azur].,Boyer L; Chanut C; Horte C; Mabriez JC; Auquier P,"OBJECTIVE: The aim of the study is to assess the transfer from one hospital to another in patients with myocardial infarction in the Provence Alpes CBte d'Azur (PACA). METHODS: To apply a methodology initially used in sociology ""social network analysis"" which allow us to describe and model the relational structure of a whole of actors, represented in this work by the establishments of care. Flows between the actors are represented by the transfers of patients. This approach is innovating in the analysis of the medical system. RESULTS: - A total of 2049 patients were admitted in 74 hospitals. The average age is 68.9 years. The density of the hospital network is 0.12. The number of click is 51. Multivariate analysis showed that the following factors were associated with decreased mortality: prestige, age < 65 years, angioplasty alone or thrombolysis associated to angioplasty. CONCLUSION: Social Network Analysis offers a synthetic sight of the relational systems in the health system. It constitutes an open field of search in Public health, and can also be applied to the evaluation of the networks.",2005,Sep,Ann Cardiol Angeiol (Paris),54,5,233-40,,10.1016/j.ancard.2005.05.011,16237912,#1269,Boyer 2005,"",""
Making sense of the French public hospital system: a network-based approach to hospital clustering using unsupervised learning methods.,Chrusciel J; Le Guillou A; Daoud E; Laplanche D; Steunou S; Clément MC; Sanchez S,"BACKGROUND: Hospitals in the public and private sectors tend to join larger organizations to form hospital groups. This increasingly frequent mode of functioning raises the question of how countries should organize their health system, according to the interactions already present between their hospitals. The objective of this study was to identify distinctive profiles of French hospitals according to their characteristics and their role in the French hospital network. METHODS: Data were extracted from the national hospital database for year 2016. The database was restricted to public hospitals that practiced medicine, surgery or obstetrics. Hospitals profiles were determined using the k-means method. The variables entered in the clustering algorithm were: the number of stays, the effective diversity of hospital activity, and a network-based mobility indicator (proportion of stays followed by another stay in a different hospital of the same Regional Hospital Group within 90 days). RESULTS: Three hospital groups were identified by the clustering algorithm. The first group was constituted of 34 large hospitals (median 82,100 annual stays, interquartile range 69,004 - 117,774) with a very diverse activity. The second group contained medium-sized hospitals (with a median of 258 beds, interquartile range 164 - 377). The third group featured less diversity regarding the type of stay (with a mean of 8 effective activity domains, standard deviation 2.73), a smaller size and a higher proportion of patients that subsequently visited other hospitals (11%). The most frequent type of patient mobility occurred from the hospitals in group 2 to the hospitals in group 1 (29%). The reverse direction was less frequent (19%). CONCLUSIONS: The French hospital network is organized around three categories of public hospitals, with an unbalanced and disassortative patient flow. This type of organization has implications for hospital planning and infectious diseases control.",2021,Nov,BMC Health Serv Res,21,1,1244,,10.1186/s12913-021-07215-4,34789235,#1683,Chrusciel 2021,"",""
Exploring inter-hospital emergency patient referral network,"Gönçer Demiral, D.; Özen, Ü.","Transferring patients between hospitals is a common and necessary element of emergency departments and patient care. Inter-hospital referrals establish a network, which is also an indicator of how well health institutions are performing. The interaction between hospitals and patient transfers can be similar to the person's relation in a social network. In the study, it is aimed to determine how the measurable differences in the service delivery of the hospitals in the Eastern Black Sea region of Türkiye affect the direction of patient referral flows between hospitals. The study encompasses inter-hospital patient transfers conducted by 112 ambulances and includes data from the years 2015, 2016, and 2017, involving 110,688 patient referrals among 42 provinces and 272 hospitals.The study was analyzed using the network analysis program NODEXL. As a result of the research, the roles and positions of the hospitals and the hospitals that were most efficient were identified. The hospitals in the region exhibit strong and heterogeneous connections with each other, indicating a high degree of coordination. Although geographic distances have an impact on patient referrals, it has also been revealed that there is a relationship between the characteristics and capacities of hospitals and their centrality. It was determined for which reasons the patients in the region were referred the most and from which disease group they were referred. It is thought that the study will contribute to the health sector on a country basis, since focusing on the analysis of all hospitals in a region is a representative of sub-component of the health system. This is the first thorough regional study in the national literature to indicate that social network analysis may be used to evaluate inter-hospital patient referrals. © 2023",2023,,Socio-Econ. Plann. Sci.,90,,,,10.1016/j.seps.2023.101713,,#1781,GönçerDemiral 2023,"",""
A Visual Analytics Framework for Inter-Hospital Transfer Network of Stroke Patients,"Kwak, K.; Park, J.; Song, H.","Effective inter-hospital coordination is crucial in improving the stroke treatment process and outcomes. The introduction of endovascular thrombectomy (EVT) further emphasized the importance of coordination. Although previous studies considered various clinical data besides stroke in terms of the network structure between hospitals, a majority of these studies performed only quantitative analyses instead of topological analyses. This study proposes a new framework (PatientFlow) for constructing a network based on stroke patient transfer data and performing exploratory analysis. The proposed framework can visualize the network structure among hospitals at the national level and analyze the detailed structure through dynamic queries. The hub-and-spoke structure for each cluster derived through community detection can be compared visually and analyzed quantitatively using network measures. Further, the relationship between regions can be analyzed by aggregating the transfer of patients by province. PatientFlow allows medical researchers to perform an exploratory analysis to understand the network at the national, provincial, and community levels with multiple coordinated views. © 2023 by the authors.",2023,,Appl. Sci.,13,9,,,10.3390/app13095241,,#1855,Kwak 2023,"",""
Temporal analysis of hospital network data by hierarchical Bayesian p2 models with covariates,"Bartolucci, F.; Donni, P.L.; Mira, A.","Motivated by an application about interhospital connections, we propose a modelling approach for data referred to a temporal network. The approach may be seen as an extension of the one recently proposed in Bianchi et al. (2020) and, in turn, of the popular p1 and p2 models by Holland and Leinhardt (1981) and van Duijn et al. (2004), on which the latter is built. The proposed extension consists in the introduction of covariates and in the adoption of a hierarchical Bayesian inferential approach that shows advantages in the specific application. For Bayesian inference we rely on a Markov chain Monte Carlo algorithm that produces samples from the posterior distribution of the model parameters. The application is based on original data on patient referral relations among 127 hospitals serving a large regional community of patients in Italy from 2014 to 2018. Results indicate that interhospital collaborative behaviours are primarily local and that collaborative attitudes vary at different time occasions of the considered period and in accordance with the level of competition faced by hospital organisations. © (RSS) Royal Statistical Society 2023. All rights reserved.",2023,,J. R. Stat. Soc. Ser. A Stat. Soc.,186,3,422-440,,10.1093/jrsssa/qnad036,,#1939,Bartolucci 2023,"",""
Inferring patient transfer networks between healthcare facilities,"Justice, S.A.; Sewell, D.K.; Miller, A.C.; Simmering, J.E.; Polgreen, P.M.","Constructing accurate patient transfer networks between hospitals is critical for understanding the spread of healthcare associated infections through statistical and mathematical modeling, and for determining optimal screening and treatment strategies. The Healthcare Cost & Utilization Project (HCUP) State Inpatient Databases (SID) provide valuable information on patient transfers from publicly obtainable claims databases, yet often give an incomplete picture due to missingness of patient tracking identifiers. We designed a novel imputation algorithm that enabled us to estimate the true number of patient transfers between each pair of hospitals in a state over a specified time period and age group in the presence of these missing identifiers. We then validated the algorithm’s performance through a series of simulation experiments using the HCUP SID, and finally tested the algorithm on multiple states’ genuine data. Our proposed method significantly reduced the total mean squared error in predicting the true number of transfers amongst hospitals for all simulation experiments, and it also yielded epidemic simulations that more closely approximated those corresponding to the true patient transfer network. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",2022,,Health Serv. Outcomes Res. Methodol.,22,1,,,10.1007/s10742-021-00249-5,,#1963,Justice 2022,Elise Hodbert (2024-11-29 02:25:27)(Select): à revoir; ,""
The association between hospital cooperation and the quality of healthcare,"Berta, P.; Vinciotti, V.; Moscone, F.","Motivated by reasons such as patients’ needs, lack of resources, technologies or skills, and quality, hospital managers may engage in cooperative behaviours. We study the determinants of patients’ transfers, a specific form of cooperation, and quantify its association with the quality delivered by the origin and destination hospital. Using Italian administrative data, we handle the network structure embedded in the data by adopting an over-dispersed Poisson mixed model. The results show a positive relationship between hospital cooperation and quality. The introduction of transferal protocols that exploit information on hospital quality may further improve the overall quality of the healthcare sector. © 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",2022,,Reg. Stud.,56,11,1858-1873,,10.1080/00343404.2021.2009792,,#2064,Berta 2022,"",""
Social network analysis in China's hospital healthcare,"Dong, X.; Tang, D.; Tang, C.","The objective of this paper is to identify whether the interorganization of healthcare providers in China had the global property of an oligopoly market tendencies by analyzing the rich-club phenomenon of patient flow. This paper examines the properties of patient transfer networks in an entire province of China using social network analysis. Hypertension is one of the most prevalent chronic conditions in China, thus the study examined the transfer network of patients with hypertension. The rich-club coefficient, the assortativity coefficient, and community detection were used to quantitatively illustrate the rich-club tendency of the social network. The results reveal significant rich-club characteristics and regional clustering patterns in this transfer network. First, the global rich-club coefficients calculated based on both degree and weighted degree are larger than 1, suggesting a relatively noticeable rich-club effect. Second, 269 nodes (69.33%) attach only to rich nodes, suggesting that most nodes within the hypertensive-patient transfer network are highly influenced by rich-club members. Third, community detection found a significant pattern of regional clustering in the transfer network. Our findings are the first to demonstrate that the hospital system operated as an oligopoly market, in which the “elite” providers formed an “inner circle”, and other providers were only loosely interconnected. It might be valuable to patients to transfer this oligarchical system into a more pluralistic network. © 2020",2021,,Phys A Stat Mech Appl,565,,,,10.1016/j.physa.2020.125546,,#2076,Dong 2021,"",""
Do Chinese hospital services constitute an oligopoly? Evidence of the rich-club phenomenon in a patient referral network,"Tang, C.; Dong, X.; Lian, Y.; Tang, D.","Research on medical practice that uses big data has attracted considerable attention recently. In this paper, we focused on a large set of patient referral data gathered in Fujian province, China, between 2009 and 2011. We built a directed weighted patient referral network. By using four metrics from network science, namely, the power-law distribution, global rich-club coefficient, local rich-club coefficient, and assortativity coefficient, we identified a significant rich-club phenomenon in this network. In addition, the community detection was also carried out to find the relationship between rich members and non-rich members. The findings indicate an oligopoly in which Class-III hospitals occupy an overwhelmingly dominant position over the competition. Also, the characteristic ‘significant regional clustering’ was inferred from the results. © 2019 Elsevier B.V.",2020,,Future Gener Comput Syst,105,,492-501,,10.1016/j.future.2019.12.001,,#2170,Tang 2020,"",""
Characterization of the flow of patients in a hospital from complex networks,"Miranda, M.A.; Salvatierra, S.; Rodríguez, I.; Álvarez, M.J.; Rodríguez, V.","We study the efficiency of operations management in a hospital from the dynamics of the flow of patients. Our principal aim is to characterize strategic departments and seasonal patterns in a hospital from a complex networks approach. Process mining techniques are developed to track out-patients’ pathways along different departments for the purpose of building weekly networks. In these networks, departments act as nodes with multiple out/in-going arrows connecting other departments. Strategic departments are classified into target and critical departments. On the one hand, target departments, which in this study belong to the oncology area, correspond to those affected by new management policies whose impact is to be assessed. On the other hand, critical departments correspond to the most active departments, the hubs of the networks. Using suitable networks parameters, strategic departments are shown to be highly efficient regardless of the season, which naturally translates into a high level of service offered to patients. In addition, our results show conformance with the new objectives concerning target departments. The methodology presented is shown to be successful in evaluating the efficiency of hospital services in order to enhance process performances, and moreover, it is suitable to be implemented in healthcare management systems at a greater scale and the service industry whenever the flow of clients or customers are involved. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.",2020,,Health Care Manage. Sci.,23,1,66-79,,10.1007/s10729-018-9466-2,,#2301,Miranda 2020,"",""
Analysis of the AOK plus data and derived hospital network,"Lonc, A.; Piotrowska, M.J.; Sakowski, K.","We present an analysis of admission/discharge data from insurance provider for Saxony and Thuringia (Germany) for years 20102016. A study of such data is necessary to derive a structure of a healthcare system transfer network, as no patients' transfer data are available. Hospital network is a basis for simulation of multidrug-resistant bacteriae spread allowing to study the eectiveness of disease-control strategies. In this paper, the properties of the dataset under consideration are presented and discussed. Moreover, the resulting inter-hospital network structure is analyzed. © 2019 Polish Mathematical Society. All rights reserved.",2019,,Mathematica Applicanda,47,1,127-139,,10.14708/ma.v47i1.6497,,#2401,Lonc 2019,"",""
Control of epidemics on hospital networks,"Belik, V.; Hövel, P.; Mikolajczyk, R.","The spread of hospital-related infections such as antibiotic-resistant pathogens forms a major challenge in public healthcare systems world-wide. One of the driving mechanisms of the pathogen spread are referrals or transfers of patients (hosts) between hospitals or readmissions after their stay in the community, constituting a dynamical network of hospitals. We analyze referral patterns of 1 million patients from one Federal State in Germany over the period of three years. We extract the underlying statistics of relocation patterns and build an agent-based computational model of pathogen spread. We simulate an outbreak of an SIS-type infection (susceptible-infected-susceptible) and evaluate characteristic time scales and prevalence levels. For such recurrent diseases, we finally investigate the effect of control measures based on screening and isolation of incoming patients. © Springer International Publishing Switzerland 2016.",2016,,Underst. Complex Syst.,0,,431-440,,10.1007/978-3-319-28028-8_22,,#2650,Belik 2016,Elise Hodbert (2024-12-18 22:26:47)(Select): Chapitre de livre; ,""
The network positions of methicillin resistant Staphylococcus Aureus Affected units in a regional healthcare system,"Ohst, J.; Liljeros, F.; Stenhem, M.; Holme, P.","We studied a dataset of care episodes in a regional Swedish hospital system. We followed how 2,314,477 patients moved between 8,507 units (hospital wards and outpatient clinics) over seven years. The data also included information on the date when patients tested positive with methicillin resistant Staphylococcus aureus. To simplify the complex flow of patients, we represented it as a network of units, where two units were connected if a patient moved from one unit to another, without visiting a third unit in between. From this network, we characterized the typical network position of units with a high prevalence of methicillin resistant Staphylococcus aureus, and how the patient’s location in the network changed upon testing positive. On average, units with medium values of the analyzed centrality measures had the highest average prevalence. We saw a weak effect of the hospital system’s response to the patient testing positive - after a positive test, the patient moved to units with a lower centrality measured as degree (i.e. number of links to other units) and in addition, the average duration of the care episodes became longer. The network of units was too random to be a strong predictor of the presence of methicillin resistant Staphylococcus aureus - would it be more regular, one could probably both identify and control outbreaks better. The migration of the positive patients with within the healthcare system, however, helps decreasing the outbreak sizes. © 2014 Ohst et al.",2014,,EPJ Data Sci.,3,1,1-15,,10.1140/epjds/s13688-014-0029-6,,#2721,Ohst 2014,"",""
A dynamic nonlinear flow algorithm to model patient flow.,Boodaghian Asl A; Raghothama J; Darwich AS; Meijer S,"Hospitals are complex systems, and the flow of patients is dynamic and nonlinear in such systems. Network representation allows flow algorithms to observe bottlenecks as candidates for optimisation. To model the dynamic behaviour of the patient flow, we need to consider the variability in arrival rates and service times (length of stay). Previously proposed dynamic flow algorithms mainly focused on arrival and departure rates, inflow and outflow, edges' and vertices' capacity, and routing, with applications mainly in transportation and telecommunication. In hospitals, bottlenecks that emerge from the patients' flow are a result of the vertices (wards) behaviour defined by capacity (beds), number of servers (staff), service time variability, and edges (care pathways) distribution probability. We offer a modified flow algorithm that takes a hospital network, iterates over the patients' arrival rates, and measures the flow with respect to vertices' capacities, servers, service time variability, edge capacity, and distribution probability. The result is a dynamic residual graph to measure the bottlenecks' persistency and severity, identify the root causes of bottlenecks, and wards' dynamic nonlinear behaviour. The algorithm provides a quick holistic view of hospital performance and the analysis of the edges and vertices' behaviour over time.",2025,Apr,Sci Rep,15,1,12052,,10.1038/s41598-025-96536-z,40200067,#3513,BoodaghianAsl 2025,"",""
Improving containment and prevention strategies using a patient transfer network representative of patients with multidrug-resistant organisms.,Octaria R; Deppen S; Chan A; Slaughter JC; Talley P; Slayton RB; Rebeiro PF; Kainer MA,"OBJECTIVES: Interfacility patient transfers contribute to the regional spread of multidrug-resistant organisms (MDROs). We evaluated whether transfer patterns of inpatients with similar characteristics to carbapenem-resistant Enterobacterales (CRE) case-patients (CRE surrogates) better reflect hospital-level CRE burden than traditionally used populations. DESIGN: We determined the risk factors for subsequent hospital admission using demographic and clinical information from Tennessee Department of Health tracked CRE case-patients from July 2015 to September 2019. Risk factors were used to identify CRE surrogates among inpatients in the 2018 Tennessee Hospital Discharge Data System (HDDS). Transfer networks of CRE surrogates, Medicare/TennCare beneficiaries, and all-inpatients with ≤365 days of intervening community stays were compared with the transfer networks of CRE case-patients in 2019. The associations between hospital-level CRE prevalence and hospitals' incoming transfer volumes from each network were assessed using negative binomial regression models. RESULTS: Eight risk factors for subsequent hospital admission were identified from 2,518 CRE case-patients, which were used to match CRE case-patients with HDDS inpatients, resulting in 10,069 surrogate patients. CRE surrogate network showed more structural similarities with the CRE case-patient network than with the all-inpatient and Medicare/TennCare networks. A 33% increase in hospitals' CRE prevalence in 2019 was associated with each doubling of incoming transfer of CRE surrogates in 2018 (adjusted Risk Ratio [aRR] 1.33, 95%CI: 1.1, 1.59), higher than all-inpatient (aRR 1.27, 95% CI: 1.08, 1.51) and Medicare/TennCare networks (aRR 1.21, 95% CI: 1.02, 1.44). CONCLUSIONS: Surrogate transfer patterns were associated with hospital-level CRE prevalence, highlighting their value in MDRO containment and prevention.",2025,Jun,Infect Control Hosp Epidemiol,,,1-9,,10.1017/ice.2025.86,40548355,#3532,Octaria 2025,"",""
Network Analysis to Define Pediatric Acute Care Regions in Wisconsin.,Michelson KA; Remick KE; Bucholz EM; McMullen PD; Singamsetty N; Skol AD; Cory DK; Graves JA,"OBJECTIVE: To pilot a system for deriving borders of pediatric regions, and to compare these to adult markets based on fit with pediatric utilization data. STUDY SETTING AND DESIGN: In this cross-sectional study, we studied all acute care encounters (emergency department visits and hospitalizations) for children less than 16 years old in Wisconsin 2021-2022. DATA SOURCES AND ANALYTIC SAMPLE: We used the Healthcare Cost and Utilization Project State Emergency Department and Inpatient Databases. We first counted how many patients from each ZIP code visited each hospital and mapped ZIP-hospital connections. Using a network analysis technique called community detection that clustered hospitals by their common connections, we grouped ZIP codes to form pediatric emergency service areas (PESAs). We counted patient referrals within and between PESAs and repeated the community detection procedure, resulting in pediatric emergency referral regions (PERRs). The primary outcome was modularity, a common network fit measure ranging from -1 to 1 (1 represents perfect clustering). We also compared demographics and network quality measures between PERRs, hospital referral regions (HRRs), core-based statistical areas, and Pittsburgh Trauma Atlas regions. PRINCIPAL FINDINGS: We analyzed 587,886 encounters, from which ZIP codes grouped into 24 PESAs. Based on referral patterns, there were 4 PERRs. PERRs had modestly higher modularity for interhospital referral patterns than all other systems (0.53, 95% confidence interval [CI] 0.52, 0.54 compared to 0.46, 95% CI 0.46, 0.47 for HRRs). PERRs were larger (median 11,361 mile(2) vs. 3957 for HRRs), contained more children (median 265,222 vs. 49,667 for HRRs), and contained more hospitals (median 35 vs. 7 for HRRs) than all other systems. CONCLUSIONS: Using Wisconsin HCUP data, we derived pediatric acute care regions with a strong fit for pediatric utilization data. Future work should test this approach across the whole US, which would allow between-region cost and outcomes comparison.",2025,Jul,Health Serv Res,,,e70000,,10.1111/1475-6773.70000,40600460,#3562,Michelson 2025,"",""
Impact of the SARS-CoV-2 pandemic on hospital robustness to the spread of antibiotic-resistant bacteria in a large German university hospital.,Donvito G; Bürkin F; Donker T,"BACKGROUND: Patient transfers occur frequently between hospital departments and wards, and bring with them the risk of interdepartmental transmission of antibiotic-resistant bacteria (ARB). These bacteria form a risk to patients already susceptible to colonization and infection. AIM: To assess the impact of the severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) pandemic on the intrahospital network of a large German university hospital. METHODS: Using data collected from the hospital between 2019 and 2023, a model was developed to represent an intrahospital transfer network with all patient movements between all wards by creating a time-sliced temporal network for each month. The network was described, and its robustness against the spread of ARB was assessed by simulating outbreaks between wards. FINDINGS: In April 2020, when many elective surgeries were cancelled due to the SARS-CoV-2 pandemic, the robustness of the network increased strongly in comparison with all other months. Despite the network being relatively stable over the study period, it was affected by an internal change in hospital structure due to a hospital merger. CONCLUSION: The intrahospital transfer network was affected by external influences due to the SARS-CoV-2 pandemic, slowing down the potential spread of nosocomial pathogens. The network was generally stable and recovered quickly, although an internal force affected the structure of the network. A better understanding of the influence of patient transfers will help in the design of intervention strategies against the spread of antimicrobial resistance within hospitals.",2025,Aug,J Hosp Infect,162,,68-75,,10.1016/j.jhin.2025.04.032,40368282,#3648,Donvito 2025,"",""
A Hybrid Approach to Model Hospitals and Evaluate Wards’ Performances,A. Boodaghian Asl; L. Marzano; J. Raghothama; A. S. Darwich; N. Falk; P. Bodeby; S. Meijer,"The degree of connectivity among hospital wards and the dynamic nonlinear flow of patients cause bottlenecks to begin in non-priority wards, accumulate within the paths, distribute throughout the hospital, and emerge as overflow in crucial wards. This requires a network-based modeling approach to address the bottlenecks caused by second- and third-order wards and to significantly influence the overall and emergent performance of multiple wards. Understanding the relative merits of different network modeling and analysis approaches in this complex environment is often challenging and requires a holistic strategy to identify persistent bottlenecks and provide evidence-based scenarios. This article introduces a novel hybrid modeling approach that integrates network analysis algorithms and agent-based network simulation of patient flow over a complete hospital network. Through network analysis, such as structural hole and flow algorithms, the approach identifies common persistent bottlenecks from the flow and structural perspectives, while percolation and perturbation analyses measure the performance improvement of wards based on variations in patient flow, and the simulations enable the investigation of scenarios. The results indicate the wards and patient types that can contribute to improving the hospital’s performance. The proposed approach facilitates holistic, dynamic modeling of hospitals, irrespective of their network scale, and enables the identification of bottleneck sources and their associated paths, contributing to a comprehensive assessment of the system’s performance.",2025,,IEEE Access,13,,104538-104554,,10.1109/ACCESS.2025.3580174,,#3669,A 2025,"",""
